key,en,zh
teaching.m4.chip.body,Good. You brought a chip back alive. That is the first proof the script can trade hull safety for higher-value cargo without collapsing.,很好。你已经活着把芯片带回来了。这第一次证明你的脚本能用机体安全去换更高价值的货物，而且不会直接崩掉。
teaching.m4.hazard.title,Service before greed,先维护，再贪收益
teaching.m4.hazard.body,The hot zone punishes scripts that try to repair only after they are already stranded. Route home before service work is needed, not after.,危险区会惩罚那种“等到搁浅后才想维修”的脚本。要在需要维护之前就规划返航，而不是之后。
teaching.m5.craft.title,Stock-aware crafting confirmed,库存感知合成已确认
teaching.m5.craft.body,Good. The script is finally reading the live craft cost instead of hauling blindly. That is the first step from survival loops into real scheduling.,很好。脚本终于开始读取实时合成成本，而不是盲目搬运了。这是从生存循环迈向真正调度的第一步。
teaching.m6.combat.title,Combat branch confirmed,战斗分支已确认
teaching.m6.combat.body,Good. The script is no longer treating hostiles like random debris. It is reading contact, firing on priority, and routing home before damage snowballs.,很好。脚本已经不再把敌人当作随机杂物。它会读取接触信号、优先开火，并在损伤滚大前规划返航。
teaching.m6.failure.title,Contact before cargo,先处理接敌，再谈搬运
teaching.m6.failure.body,The arena lane punishes scripts that try to keep hauling through hostile contact. Clear the target first, then think about salvage and repairs.,角斗场走廊会惩罚那种顶着敌对接触继续搬运的脚本。先清掉目标，再考虑回收和维修。
script.jumpHint,Ctrl-click @Label to jump,按住 Ctrl 点击 @标签跳转
script.title,Script,脚本
script.controls,Run controls,运行控制
world.aria,World map,世界地图
world.canvas,Infinite map canvas,无限地图画布
world.grid,Robot grid,机器人网格
world.title,Waste-X Sector,废料 X 区域
stage.renderTitle,Render_Out [Inf_Canvas],渲染输出 [无限画布]
stage.link,859 Sync,859 同步
stage.feed,Live_Feed,实时画面
side.aria,Resources and modules,资源与模块
side.title,Systems,系统
location.aria,Current location,当前位置
location.title,Location,地点
location.kind,Wasteland recovery node,荒地回收节点
location.description,"A rain-burned recovery site with a weak uplink and a short scavenger loop.",一处被酸雨灼烧的回收点，链路微弱，只能维持短循环拾荒。
resources.title,Resources,资源
resources.scrap,Base_Scrap,基地废铁
resources.cells,Base_Batteries,基地电池
resources.chips,Recovered_Chips,回收芯片
resources.memoryShards,Mem_Chips,记忆晶片
resources.cargoCount,Cargo_Load,货舱装载
resources.cargoManifest,Cargo_Manifest,货舱内容
resources.cargoEmpty,Empty,空
resources.item.scrap,Scrap,废铁
resources.item.battery,Battery,电池
resources.item.chip,Chip,芯片
modules.aria,Robot modules,机器人模块
modules.title,Modules,模块
modules.statusTitle,Module_Status,模块状态
facilities.aria,Base facilities,基地设施
facilities.title,Facilities,设施
facilities.charger,Charger,充能桩
facilities.repairBay,Repair_Bay,维修台
facilities.fabricator,Fabricator,合成台
facilities.status.remote,Remote,远端待机
facilities.status.standby,Standby,待命
facilities.status.charging,Charging,充能中
facilities.status.ready,Ready,可用
facilities.status.missing,Missing_Input,缺少材料
modules.armor,Armor,装甲
modules.weapon,Weapon,武器
modules.battery,Battery,电量
modules.hp,HP,生命值
modules.armorIntegrity,Armor_Integrity,装甲完整度
modules.energyLoad,Battery_Charge,电池电量
save.aria,Save,存档
save.title,Save,存档
settings.title,Settings,设置
dev.title,Developer Debug,开发调试
flow.aria,Task checklist,任务清单
flow.title,Objectives,目标
flow.deploy,Compile a valid script,编译有效脚本
flow.collect,Load cargo from the map,从地图装载货物
flow.chip,Recover a hot-zone chip,回收危险区芯片
flow.unload,Unload cargo at home,回家卸载货物
flow.recharge,Recharge at home,回家补满电量
flow.stockBalance,Complete two cost-aware fabrications,完成两次成本感知合成
flow.combat,Defeat the hostile contact,击败敌对目标
flow.save,Save and reload progress,保存并读取进度
samples.title,Field scripts,示例脚本
samples.m1,M1 Wake,示例 M1
samples.m2,M2 Haul Loop,示例 M2
samples.m3,M3 Base Cycle,示例 M3
samples.m4,M4 Hot-Zone Run,示例 M4
samples.m5,M5 Stock Balancer,示例 M5
samples.m6,M6 Arena Intercept,示例 M6
console.aria,Runtime console,运行控制台
console.title,Console,控制台
diff.aria,State diff,状态差异
diff.title,Diff,差异
action.toggleLocation,Toggle location panel,折叠或展开地点栏
action.toggleSystems,Toggle systems panel,折叠或展开系统栏
action.deploy,Deploy,部署
action.play,Play,播放
action.pause,Pause,暂停
action.resume,Resume,恢复
action.frame,Step,步进
action.speed,Speed {speed},速度 {speed}
action.stop,Stop,停止
action.expandMemory,Expand memory,扩展内存
action.armorPlus,Armor +,装甲 +
action.weaponPlus,Weapon +,武器 +
action.save,Save,保存
action.saveState,Save_State,保存状态
action.load,Load,读取
action.localizationMode,Localization [{mode}],本地化 [{mode}]
action.devLogOpen,Dev_Log [-],开发日志 [-]
action.devLogClosed,Dev_Log [+],开发日志 [+]
diagnostic.title,Diagnostics,诊断
diagnostic.line,Line {line},第 {line} 行
diagnostic.general,Script,脚本
diagnostic.issueCount.one,{count} issue,{count} 个问题
diagnostic.issueCount.other,{count} issues,{count} 个问题
diagnostic.severity.error,[ERR],[错误]
diagnostic.severity.warning,[WARN],[警告]
state.idle,Idle,空闲
state.waiting,Waiting,等待中
state.compileOk,Compile OK,编译通过
state.compileError,Compile error,编译错误
capacity,Capacity {value},容量 {value}
capacity.short,Ops_Limit,操作上限
diff.count,{count} {label},{count} 项
diff.change,change,变化
diff.changes,changes,变化
diff.empty,No state changes yet.,暂无状态变化。
save.empty,No save written this session.,本轮尚未写入存档。
save.saved,Saved tick {tick}.,已保存第 {tick} 回合。
save.loaded,Loaded tick {tick}.,已读取第 {tick} 回合。
save.missing,No save found.,没有找到存档。
save.reset,Reset local session state.,已重置本地会话状态。
log.save.loaded,Loaded save from tick {tick}.,已从第 {tick} 回合读取存档。
log.autoPaused,Auto-paused: robot could not continue safely.,已自动暂停：机器人无法安全继续。
story.channel,Comm_Link // Unknown_Signal,通信链路 // 未知信号
story.opening.1.speaker,K-6 Commander,K-6 指挥官
story.opening.1.text,Rain is breaking the satellite uplink. Keep the scavenger on a short loop until we recover enough scrap.,酸雨正在撕裂卫星链路。先让拾荒机器人维持短循环，直到回收足够的废铁。
story.opening.2.speaker,K-6 Commander,K-6 指挥官
story.opening.2.text,The script on the left feeds the robot logic core. Press play or single-frame after this briefing; the system will compile it on demand.,左侧脚本会写入机器人的逻辑核心。简报结束后点击播放或步进，系统会按需编译。
story.opening.3.speaker,K-6 Commander,K-6 指挥官
story.opening.3.text,"Recover the nearby scrap, expand logic memory, then we can route you toward the next unlocked site.",回收附近废铁，扩展逻辑内存，然后我们就能把路线指向下一个已解锁地点。
story.prompt.continue,[ Click to continue ],[ 点击继续 ]
story.prompt.begin,[ Click to begin idle mode ],[ 点击进入挂机模式 ]
completion.kind.action,Action,动作
completion.kind.query,Query,查询
completion.kind.branch,Branch,分支
completion.kind.label,Label,标签
completion.label.target,jump target,跳转目标
completion.move.forward,Move forward,向前移动
completion.move.back,Move backward,向后移动
completion.move.home,Move toward home,朝基地移动
completion.turn.left,Turn left,左转
completion.turn.right,Turn right,右转
completion.turn.around,Turn around,转身
completion.pickup.forward,Pick up from forward cell,拾取面前一格
completion.drop.forward,Drop cargo to forward cell,把货物丢到面前一格
completion.unload.home,Unload cargo at home,在基地卸货
completion.craft.home,Craft at home,在基地合成
completion.fire.forward,Fire forward,向前开火
completion.wait,Spend one tick,等待一个回合
completion.repair,Repair HP with scrap,消耗废铁修复 HP
completion.check.forward.scrap,Forward has scrap,面前有废铁
completion.check.forward.battery,Forward has battery,面前有电芯
completion.check.forward.chip,Forward has a chip,面前有芯片
completion.check.enemy,Enemy signal,检测敌方信号
completion.check.wall,Forward is blocked,面前被阻挡
completion.check.hazard,Forward is a hot zone,面前是危险区
completion.check.empty,Forward is empty,面前为空
completion.check.home,Robot is at home,机器人位于基地
completion.cargo.any,Cargo has anything,货舱不为空
completion.cargo.full,Cargo is full,货舱已满
completion.cargo.scrap,Cargo has scrap,货舱里有废铁
completion.cargo.battery,Cargo has battery,货舱里有电芯
completion.cargo.chip,Cargo has a chip,货舱里有芯片
completion.resource.scrap.low,Base scrap below threshold,基地废铁低于阈值
completion.resource.battery.low,Base battery below threshold,基地电池低于阈值
completion.resource.chip.any,Base has recovered chips,基地已有回收芯片
completion.resource.memory.enough,Memory shards above target,记忆晶片高于目标值
completion.resource.scrap.cost,Base scrap is below current craft cost,基地废铁低于当前合成成本
completion.resource.battery.cost,Base battery is below current craft cost,基地电池低于当前合成成本
completion.hp.low,HP below threshold,HP 低于阈值
completion.energy.low,Battery below threshold,电量低于阈值
completion.damage.any,Damaged this tick,本回合受到伤害
completion.goto.loop,Go to label,跳转到标签
completion.iftrue.goto,Go if last check is true,上次查询为真时跳转
completion.iffalse.goto,Go if last check is false,上次查询为假时跳转
completion.iftrue.pickup,Pick up if true,为真时拾取
completion.iffalse.turn,Turn if false,为假时右转
runtime.title,Runtime_Env,运行时环境
runtime.haltGeneric,Halt_Reason: Runtime_Block,中断原因：运行受阻
runtime.recodeGeneric,Re-code logic or clear debris,重写逻辑或先清理障碍
runtime.blockedBoundary,Halt_Reason: Boundary_Block,中断原因：边界阻挡
runtime.recodeBoundary,Turn back before the perimeter edge,在边界前先转向
runtime.blockedWall,Halt_Reason: Physical_Block,中断原因：实体阻挡
runtime.recodeWall,Re-code logic or clear debris,重写逻辑或先清理障碍
runtime.blockedOccupied,Halt_Reason: Occupied_Cell,中断原因：目标格被占用
runtime.recodeOccupied,Route around the obstruction,绕开障碍或先腾空目标格
runtime.blockedPower,Halt_Reason: Battery_Depleted,中断原因：电量耗尽
runtime.recodePower,Route home before the battery floor,在电量见底前先回家
runtime.blockedEmpty,Halt_Reason: Empty_Target,中断原因：目标为空
runtime.recodeEmpty,Check the forward cell before acting,执行动作前先检查前方
runtime.hazardFault,Halt_Reason: Hot_Zone_Fault,中断原因：危险区故障
runtime.recodeHazard,Retreat before field service is required,在需要现场维修前就先撤离
runtime.combatFault,Halt_Reason: Hostile_Contact,中断原因：敌对接触
runtime.recodeCombat,Clear the target first or repair before re-engaging,先清掉目标，或维修后再重新接敌
runtime.logicFault,Halt_Reason: Logic_Fault,中断原因：逻辑故障
runtime.recodeLogic,Simplify the loop or repair the branch,简化循环或修复分支
runtime.compileFault,Halt_Reason: Compile_Fault,中断原因：编译故障
runtime.recodeCompile,Fix diagnostics before redeploying,先修复诊断再重新部署
runtime.stageHint.m1,For this site, a short pickup-to-home loop beats any exploratory path.,这一关先写短循环，拾取后尽快回家，比探索更重要。
runtime.stageHint.m2,In this relay lane, every failure should make you re-check the battery return line first.,在这一关里，任何报错都先回头检查电量返航线。
runtime.stageHint.m3,At Forge Yard, loop health matters more than greed: stabilize home actions before chasing more scrap.,在熔炉前场，循环健康比贪心重要：先稳住回家动作，再去追更多废铁。
runtime.stageHint.m4,Hot Strip pays out better than the safe lane, but only if the script prices hull damage before the pickup.,热带回报比安全区高，但前提是脚本在拾取前就把机体损耗算进去。
runtime.stageHint.m5,At Stock Exchange, every route should answer one question first: which ingredient is the base still missing right now?,在库存交换站，每一趟路线都要先回答一个问题：基地此刻到底还缺哪一种材料？
runtime.stageHint.m6,At Arena Gate, a blocked lane is no longer just pathing noise. Read contact first, then decide whether to fire, retreat, or repair.,在角斗场闸门，通道受阻已经不只是寻路噪声。先读接敌，再决定开火、撤退还是维修。
vm.Ready,Ready,就绪
vm.Suspended,Suspended,暂停
vm.Halted,Halted,停止
vm.Fault,Fault,故障
flow.summary.pending,Stage target: {label},阶段目标：{label}
flow.summary.complete,Stage target complete: {label},阶段目标已完成：{label}
flow.summary.none,No active stage target.,当前没有阶段目标。
stage.guidance.m1,Priority: recover nearby scrap first; ignore long loops until the uplink stabilizes.,优先事项：先回收附近废铁；在链路稳定前不要跑长循环。
stage.guidance.m2,Priority: treat battery as the limiter; haul scrap only when the return path is still affordable.,优先事项：把电量当作硬约束；只有返航还划算时再继续搬运废铁。
stage.guidance.m3,Priority: feed the base loop; batteries unlock fabrication and scrap keeps repair online.,优先事项：先养活基地循环；电池决定能否合成，废铁决定修理是否在线。
stage.guidance.m4,Priority: price in hull loss before every hazard step; one chip is worth more than scrap only if the robot still makes it home.,优先事项：每一步踏进危险区前都先估算机体损耗；只有机器人还能回家时，一枚芯片才比废铁更值钱。
stage.guidance.m5,Priority: route for deficits, not scenery; whichever ingredient the fabricator still lacks should become the next trip.,优先事项：按缺口而不是按风景去走；合成台还缺哪种材料，下一趟就该优先补哪种。
stage.guidance.m6,Priority: hostile contact outranks salvage; if a target is on the lane, clear it before the chip run and service the frame before the next engage.,优先事项：敌对接触优先于回收；通道上有目标时先清掉，再去拿芯片，并且在下一次接敌前先维护机体。
location.kind.m2,Relay haul corridor,中继搬运走廊
location.name.m2,Relay Ladder,中继梯井
location.description.m2,A longer salvage lane with sparse batteries and a punishing walk back home.,更长的回收通道，电池稀少，返航成本很高。
location.kind.m3,Base maintenance basin,基地维护盆地
location.name.m3,Forge Yard,熔炉前场
location.description.m3,A compact service yard where scrap, damage, and fabrication all compete for the same loop.,紧凑的维修前场，废铁、损伤与合成都要争抢同一条循环。
location.kind.m4,Hot-zone salvage lane,危险区回收带
location.name.m4,Hot Strip,热蚀带
location.description.m4,A short radiant lane with one clean chip payout and a very real repair bill if you mis-time the retreat.,一条很短的辐蚀回收带，里面有一枚干净的芯片回报，但撤退时机一旦失误，维修账单就会立刻落到你头上。
location.kind.m5,Supply balancing fork,供给平衡岔口
location.name.m5,Stock Exchange,库存交换站
location.description.m5,A short fork where the real puzzle is no longer movement, but deciding which missing ingredient to refill before crafting.,一处分岔很短的小站，真正的谜题已经不再是移动，而是先判断合成前还缺哪一种材料。
location.kind.m6,Arena intercept lane,角斗场拦截走廊
location.name.m6,Arena Gate,角斗场闸门
location.description.m6,A narrow combat lane where one hostile blocks the chip payout. The route only works if the script treats contact as a state change, not as scenery.,一条狭窄的战斗走廊，一名敌对目标挡住了芯片回报。只有当脚本把接敌当成状态切换而不是背景噪声时，这条路线才跑得通。
story.m2.1.speaker,K-6 Commander,K-6 指挥官
story.m2.1.text,This relay ladder stretches farther than the first site. Range matters now; do not spend the last battery far from home.,这段中继梯井比第一处站点更长。现在航程就是约束，别把最后一格电浪费在离家太远的地方。
story.m2.2.speaker,K-6 Commander,K-6 指挥官
story.m2.2.text,Use energy checks before greed. A clean return loop is worth more than one extra piece of scrap.,先判断电量，再考虑贪心。稳定返航的循环，比多捡一块废铁更值钱。
story.m2.3.speaker,K-6 Commander,K-6 指挥官
story.m2.3.text,If the battery floor looks thin, route home early and let the charger carry the schedule.,如果电量余地太薄，就提早回家，让充能节奏接管整条时间线。
story.m3.1.speaker,K-6 Commander,K-6 指挥官
story.m3.1.text,Forge Yard is where field work turns into infrastructure. Scrap is no longer just score; it keeps the base alive.,熔炉前场是把野外回收变成基础设施的地方。废铁不再只是分数，它直接决定基地能不能运转。
story.m3.2.speaker,K-6 Commander,K-6 指挥官
story.m3.2.text,Bring cargo home, repair when the frame drops, and convert surplus into memory shards when batteries allow it.,把货带回家，机体掉血就修，电池允许时再把盈余转成记忆晶片。
story.m3.3.speaker,K-6 Commander,K-6 指挥官
story.m3.3.text,This is the first stage that wants a real base loop. Build one stable cycle and the rest of the map opens up.,这是第一关真正要求你写出基地循环。先做出一条稳定节奏，后面的地图才会真正打开。
story.m4.1.speaker,K-6 Commander,K-6 指挥官
story.m4.1.text,Hot Strip is the first lane that lies to greedy scripts. The payout is real, but the frame will burn if you treat it like ordinary scrap.,热蚀带是第一条会欺骗贪心脚本的路线。回报是真的，但如果你把它当普通废铁去跑，机体就会被烧穿。
story.m4.2.speaker,K-6 Commander,K-6 指挥官
story.m4.2.text,Read the hot zone before you step in. If the hull is already thin, route home first and service there, not out in the field.,踏进去之前先读取危险区。如果机体余量已经很薄，就先回家维护，而不是在野外硬撑。
story.m4.3.speaker,K-6 Commander,K-6 指挥官
story.m4.3.text,Bring back one chip intact and the whole route changes meaning: risk is no longer noise, it is part of the program.,完整带回一枚芯片，这条路线的意义就变了：风险不再是噪声，而是程序本身的一部分。
story.m5.1.speaker,K-6 Commander,K-6 指挥官
story.m5.1.text,This fork is small, but it teaches a bigger habit: stop hauling whatever is closest and start reading what the base is actually missing.,这个岔口不大，但它会教你一个更大的习惯：别再搬最近的东西了，先读基地现在真正缺什么。
story.m5.2.speaker,K-6 Commander,K-6 指挥官
story.m5.2.text,The fabricator only cares about deficits. If batteries are missing, scrap is noise. If scrap is short, another battery changes nothing.,合成台只在乎缺口。缺电池时，废铁就是噪声；缺废铁时，再多一块电池也不会改变结果。
story.m5.3.speaker,K-6 Commander,K-6 指挥官
story.m5.3.text,Once the script can branch on stock counts, routing stops being a patrol and starts becoming scheduling.,一旦脚本能按库存分支，路线就不再只是巡逻，而开始变成调度。
story.m6.1.speaker,K-6 Commander,K-6 指挥官
story.m6.1.text,The Arena Gate is where pathing turns into combat. That bandit is not terrain; it is a moving condition in your loop.,角斗场闸门会把寻路变成战斗。那个匪徒不是地形，而是你循环里的一个动态条件。
story.m6.2.speaker,K-6 Commander,K-6 指挥官
story.m6.2.text,If hostile contact is on the lane, scrap logic will fail. Read the contact, clear the target, then decide whether the frame can afford another push.,只要通道上出现敌对接触，拾荒逻辑就会失效。先读取接敌、清掉目标，再决定机体是否还撑得起下一次推进。
story.m6.3.speaker,K-6 Commander,K-6 指挥官
story.m6.3.text,Bring the guarded chip home intact and you have crossed the line from routing into combat scheduling.,把那枚被看守的芯片完整带回家，你就真的从路线规划跨进了战斗调度。
graphics.aria,Graphics lab,图形实验室
graphics.title,Graphics_Lab,图形实验室
graphics.layers,Layers,图层
graphics.openStudio,Open_Studio,打开工作台
graphics.closeStudio,Close_Studio,关闭工作台
graphics.exportEntity,Export_Entity,导出实体
graphics.importEntity,Import_Entity,导入实体
graphics.layerVisible,Visible,显示
graphics.layerHidden,Hidden,隐藏
graphics.layerLocked,Locked,锁定
graphics.layerUnlocked,Editable,可编辑
graphics.presets,Shape presets,形状预设
graphics.templates,Entity templates,实体模板
graphics.recentTemplates,Recent templates,最近使用
graphics.fillSwatches,Fill swatches,填充色板
graphics.textureSwatches,Texture swatches,纹理色板
graphics.preset.panel,Panel,面板
graphics.preset.token,Token,标记
graphics.preset.shard,Shard,碎片
graphics.preset.beacon,Beacon,信标
graphics.template.frameBot,Frame Bot,框架机体
graphics.template.signalToken,Signal Token,信号标记
graphics.template.hazardBeacon,Hazard Beacon,危险信标
graphics.template.platedBlock,Plated Block,装甲方块
graphics.templateDesc.frameBot,Layered chassis with an inline identifier glyph.,带内嵌识别字符的分层机体框架。
graphics.templateDesc.signalToken,Compact circular token suited for pickups and markers.,适合掉落物和标记物的紧凑圆形标记。
graphics.templateDesc.hazardBeacon,Wide warning field with a bright core beacon.,带明亮核心信标的大范围警示场。
graphics.templateDesc.platedBlock,Heavy plated block suited for walls and obstacles.,适合墙体和障碍物的厚重装甲块。
graphics.templateCategory.actor,Actor,角色
graphics.templateCategory.pickup,Pickup,拾取物
graphics.templateCategory.field,Field,区域
graphics.templateCategory.structure,Structure,结构体
graphics.templateCategory.anchor,Anchor,据点
graphics.templateCategory.custom,Custom,自定义
graphics.templateRecommended,Recommended,推荐
graphics.templateGroup.recommended,Best match,最佳匹配
graphics.templateGroup.other,Other,其他
graphics.templateNamePlaceholder,Template label,模板名称
graphics.saveTemplate,Save_Template,保存模板
graphics.deleteTemplate,Del,删
graphics.templateSaved,Template saved,模板已保存
graphics.templateDeleted,Template deleted,模板已删除
graphics.entityIoPlaceholder,"Paste one entity visual JSON here, then import into the selected entity.","在这里粘贴单个实体的图形 JSON，然后导入到当前选中实体。"
graphics.importSuccess,Entity imported,实体已导入
graphics.importFailed,Import failed,导入失败
graphics.templateApplied,Template applied,模板已套用
graphics.reset,Reset_Visuals,重置图形
graphics.copy,Copy_JSON,复制 JSON
graphics.copied,Copied,已复制
graphics.addShape,Add_Shape,添加图形
graphics.addGlyph,Add_Glyph,添加字符
graphics.duplicateLayer,Duplicate_Layer,复制图层
graphics.moveLayerUp,Layer_Up,图层上移
graphics.moveLayerDown,Layer_Down,图层下移
graphics.deleteLayer,Delete_Layer,删除图层
graphics.noLayer,No layer selected.,未选择图层。
graphics.entity.robot,Robot,角色
graphics.entity.enemy,Enemy,敌人
graphics.entity.scrap,Scrap,废铁
graphics.entity.cell,Battery,电池
graphics.entity.chip,Chip,芯片
graphics.entity.hazard,Hazard,危险区
graphics.entity.obstacle,Obstacle,障碍
graphics.entity.wall,Wall,墙体
graphics.entity.base,Base,基地
graphics.field.entityLabel,Entity label,实体名称
graphics.field.canvasSize,Canvas size,画布尺寸
graphics.field.id,Layer id,图层 ID
graphics.field.type,Layer type,图层类型
graphics.field.shape,Shape,形状
graphics.field.glyph,Glyph,字符
graphics.field.fontSize,Font size,字号
graphics.field.glyphColor,Glyph color,字符颜色
graphics.field.x,Position X,X 坐标
graphics.field.y,Position Y,Y 坐标
graphics.field.width,Width,宽度
graphics.field.height,Height,高度
graphics.field.rotation,Rotation,旋转
graphics.field.fill,Fill,填充色
graphics.field.fillOpacity,Fill opacity,填充透明度
graphics.field.stroke,Stroke,描边色
graphics.field.strokeWidth,Stroke width,描边宽度
graphics.field.radius,Corner radius,圆角
graphics.field.sides,Side count,边数
graphics.field.points,Point count,角数
graphics.field.innerRadius,Inner radius,内径
graphics.field.outerRadius,Outer radius,外径
graphics.field.textureType,Texture,纹理
graphics.field.textureColor,Texture color,纹理颜色
graphics.field.textureScale,Texture scale,纹理缩放
graphics.field.textureVariant,Dither type,抖动类型
graphics.field.stripeWidth,Stripe width,条纹宽度
graphics.field.stripeAngle,Stripe angle,条纹角度
graphics.field.stripeGap,Stripe gap,条纹间距
graphics.option.layer.shape,Shape,图形
graphics.option.layer.glyph,Glyph,字符
graphics.option.shape.rectangle,Rectangle,矩形
graphics.option.shape.circle,Circle,圆形
graphics.option.shape.polygon,Polygon,正多边形
graphics.option.shape.star,Star,正多角形
graphics.option.texture.none,None,无
graphics.option.texture.stripes,Stripes,斜条纹
graphics.option.texture.dither,Dither,像素抖动
graphics.option.dither.checker,Checker,棋盘
graphics.option.dither.noise,Noise,噪点
graphics.option.dither.cross,Cross,十字
